1	3	0	0	0
2	3	0	0	0
3	3	0	0	0
4	3	0	0	0
5	3	0	0	0
6	3	0	0	0
7	3	0	0	0
8	5	0	0	1
9	8	0	2	4
10	10	0	3	5
11	14	1	3	8
12	17	1	3	10
13	20	1	3	12
14	25	2	3	15
15	27	2	3	17
16	33	3	3	21
17	39	4	5	25
18	39	5	7	25
19	44	5	11	29
20	48	5	11	32
21	48	5	15	32
22	48	5	15	32
23	49	5	19	32
24	51	5	25	34
25	54	6	25	36
26	56	6	25	37
27	61	6	26	41
28	70	8	30	47
29	88	9	33	60
30	123	12	33	84
31	164	17	33	113
32	218	20	33	151
33	330	21	33	229
34	424	27	33	295
35	482	30	36	335
36	621	34	39	433
37	803	39	42	560
38	1012	46	42	706
39	1231	50	49	860
40	1572	60	49	1098
41	1838	75	58	1285
42	2144	84	66	1499
43	2456	91	75	1717
44	2948	101	85	2062
45	3382	110	87	2365
46	3772	120	92	2638
47	4186	127	108	2928
48	4689	131	112	3280
49	4998	140	113	3497
50	5416	145	122	3789
51	5913	152	131	4137
52	6462	155	139	4521
53	7103	163	150	4970
54	7667	168	160	5365
55	8238	170	174	5765
56	8790	175	177	6151
57	9455	177	1063	6616
58	10143	182	1209	7098
59	10929	183	1403	7648
60	11719	186	1403	8201
61	12425	199	1910	8695
62	13134	206	2101	9192
63	13770	214	2414	9637
64	14657	228	2650	10258
65	15691	239	2902	10982
66	16660	250	3147	11660
67	17822	269	3361	12473
68	18863	283	3361	13202
69	20065	298	3882	14043
70	20995	314	4117	14694
71	22268	328	4373	15586
72	23870	349	4585	16707
73	25121	370	4993	17583
74	26738	386	5207	18715
75	28511	408	5602	19956
76	30205	432	6190	21141
77	32078	452	6486	22453
78	33610	480	6901	23525
79	35585	501	7334	24907
80	36751	522	7579	25724
81	38292	544	7925	26802
82	40321	559	8425	28223
83	42844	582	9015	29989
84	44608	610	9375	31224
85	47153	650	9781	33005
86	49534	672	10597	34672
87	52445	709	11120	36709
88	55140	746	11590	38596
89	57563	781	12161	40292
90	60391	811	12804	42272
91	63026	846	13325	44116
92	65769	888	13903	46036
93	68504	930	14560	47951
94	71675	975	15337	50170
95	74865	1012	15900	52403
96	78052	1049	16747	54634
97	81523	1095	17249	57064
98	84379	1139	17828	59063
99	87520	1171	18730	61262
100	90619	1209	18731	63431
101	94481	1262	36264	66135
102	98489	1305	38189	68940
103	102292	1343	40164	71602
104	105535	1388	42945	73872
105	108775	1425	43993	76140
106	112306	1464	45077	78612
107	115786	1502	46755	81048
108	119198	1545	47635	83437
109	122660	1582	49666	85860
110	126606	1621	51495	88622
111	130474	1661	53133	91330
112	133978	1695	54318	93783
113	137787	1738	55727	96449
114	141801	1783	57780	99259
115	145483	1847	59624	101836
116	149258	1888	62108	104479
117	153277	1926	66442	107292
118	156391	1968	68048	109472
119	159679	1997	70721	111773
120	162417	2052	72625	113690
121	165618	2096	76149	115931
122	168645	2151	78102	118049
123	172134	2197	80838	120492
124	175494	2238	84544	122844
125	178443	2275	86406	124908
126	181129	2305	88034	126788
127	183795	2352	93614	128654
128	186894	2391	98317	130824
129	190057	2424	103227	133038
130	193590	2457	105523	135511
131	196323	2496	106963	137424
132	199357	2547	108725	139548
133	202066	2581	110098	141444
134	204525	2618	111642	143165
135	207453	2668	113556	145215
136	210510	2709	115397	147355
137	213254	2751	117202	149276
138	216110	2801	119208	151275
139	218658	2836	120976	153059
140	221178	2874	122090	154823
141	223453	2928	123882	156415
142	226225	2965	125683	158355
143	229185	3000	127414	160427
144	232194	3035	130292	162534
145	234889	3083	132960	164420
146	237661	3111	135136	166361
147	239860	3132	136253	167900
148	240746	3154	136839	168520
149	242102	3184	137905	169469
150	244020	3234	139860	170812
151	246674	3267	141750	172670
152	249651	3306	143824	174754
153	252502	3333	145584	176749
154	255113	3365	146604	178577
155	257600	3399	148370	180318
156	260507	3438	150437	182353
157	263503	3471	151972	184450
158	266498	3513	153089	186547
159	269115	3557	154871	188378
160	271881	3591	156623	190315
161	274525	3625	157635	192165
162	276549	3657	158950	193582
163	279144	3694	160591	195399
164	282344	3740	162825	197639
165	285091	3781	165738	199562
166	287959	3822	168991	201569
167	290360	3861	172615	203250
168	292625	3907	175567	204835
169	294598	3941	179091	206217
170	297083	3983	182875	207956
171	299628	4028	186756	209738
172	302147	4082	190183	211501
173	304583	4127	193458	213206
174	306794	4174	196836	214754
175	308925	4206	198863	216245
176	310822	4248	201907	217573
177	312996	4281	204887	219095
178	314946	4316	208177	220460
179	317528	4351	211016	222268
180	319686	4383	213980	223778
181	321615	4412	216191	225128
182	323565	4447	217852	226493
183	325157	4479	221275	227608
184	327359	4516	224573	229149
185	329251	4552	227809	230474
186	331078	4593	230804	231753
187	332970	4634	233550	233077
188	334762	4668	236024	234331
189	336044	4702	238271	235229
190	337520	4733	240643	236262
191	339332	4759	243155	237530
192	341056	4802	245594	238737
193	342671	4823	247969	239868
194	344264	4859	250412	240983
195	345805	4881	252335	242061
196	347372	4913	254386	243158
197	348918	4939	256565	244241
198	350621	4979	258717	245433
199	352178	5007	260790	246523
200	353844	5044	262953	247689
201	355384	5072	265092	248767
202	356767	5093	267024	249735
203	357873	5129	268777	250509
204	359148	5161	270491	251402
205	360555	5193	272073	252386
206	362043	5219	273698	253428
207	363479	5251	275487	254433
208	364987	5272	277078	255489
209	366383	5305	278627	256466
